1,1
2,2
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,2
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,2
24,1
25,1
26,1
27,0
28,0
29,2
30,2
31,1
32,1
33,0
34,1
35,2
36,1
37,1
38,1
39,1
40,2
41,1
42,1
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,2
53,2
54,1
55,2
56,1
57,1
58,0
59,2
60,2
61,1
62,1
63,1
64,1
65,2
66,2
67,1
68,2
69,1
70,2
71,1
72,0
73,2
74,1
75,1
76,2
77,2
78,1
79,0
80,2
81,2
82,2
83,1
84,1
85,0
86,1
87,1
88,2
89,2
90,2
91,1
92,2
93,0
94,1
95,1
96,1
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,1
116,1
117,2
118,2
119,2
120,0
121,0
122,1
123,1
124,2
125,2
126,0
127,1
128,1
129,2
130,2
131,2
132,1
133,1
134,1
135,2
136,2
137,1
138,1
139,1
140,2
141,1
142,1
143,2
144,2
145,2
146,1
147,1
148,1
149,2
150,1
151,1
152,2
153,1
154,2
155,1
156,2
157,2
158,2
159,1
160,1
161,2
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,2
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,2
179,2
180,2
181,2
182,1
183,1
184,2
185,2
186,1
187,2
188,1
189,0
190,2
191,0
192,0
193,0
194,1
195,2
196,1
197,0
198,1
199,1
200,1
201,2
202,1
203,1
204,1
205,2
206,2
207,2
208,2
209,1
210,2
211,1
212,2
213,1
214,0
215,1
216,2
217,0
218,2
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,2
228,0
229,2
230,2
231,1
232,1
233,0
234,2
235,2
236,0
237,2
238,1
239,1
240,2
241,0
242,1
243,0
244,2
245,2
246,1
247,1
248,1
249,2
250,0
251,2
252,2
253,1
254,1
255,1
256,1
257,2
258,1
259,1
260,1
261,1
262,1
263,1
264,2
265,2
266,1
267,0
268,1
269,1
270,2
271,2
272,1
273,2
274,0
275,2
276,0
277,1
278,1
279,1
280,1
281,0
282,2
283,2
284,1
285,0
286,2
287,2
288,1
289,2
290,2
291,2
292,2
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,1
